unique_id,name,region,city,facility_type,facility_tier_label,latitude,longitude,region_mds,region_desert_label,service_gap_score,facility_integrity_risk,access_bonus,facility_desert_overlay,facility_desert_label,has_emergency_medicine,has_surgery,has_obstetrics,has_icu,has_radiology,has_infectious_disease,has_mental_health,has_pediatrics,ghost_probability_score,total_stat_anomalies,capability_is_valid,data_completeness_score,rag_quality_score,emergency_readiness_score,critical_care_score,accepts_volunteers,is_ngo,is_hospital,is_clinic,doctors,beds,schema_version
d7405388-0fab-4949-8f88-51399c875352,Atebubu Government Hospital,Bono East,Atebubu,hospital,Secondary,7.75,-0.9833,0.6859,Moderate Desert,1.0,0.5095,0.0645,0.7629,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.4535,0.43,0.0,0.0,False,False,True,False,0,0,v12
c124e5ea-e7ab-481d-b343-420a6d77ddb6,Wecheau Health Centre,Upper West,Wechiau,clinic,Primary/Clinic,10.25,-2.32,0.605,Marginal,1.0,0.7415,0.0255,0.7612,Moderate Desert,False,False,False,False,False,False,False,False,0.91,0,False,0.256,0.17,0.0,0.0,False,False,False,True,0,0,v12
5504ee71-2915-4f9b-85cd-41fb78221221,Offinsoman Pharmacy,Upper West,Offinso,pharmacy,Other,7.1167,-1.6333,0.605,Marginal,1.0,0.719,0.024,0.758,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.305,0.16,0.0,0.0,False,False,False,False,0,0,v12
4ebc4797-1060-4b65-89e8-c855a7abefc7,Wassa Mampong Health Center,Upper West,Mampong,clinic,Primary/Clinic,7.0667,-1.4,0.605,Marginal,1.0,0.719,0.036,0.7568,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.346,0.24,0.0,0.0,False,False,False,True,0,0,v12
9fcbf2e8-2e38-426c-b33a-3d94f6549c3a,Daffiama Health Centre,Upper West,Daffiama,clinic,Primary/Clinic,10.45,-2.45,0.605,Marginal,1.0,0.6965,0.036,0.7534,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.301,0.24,0.0,0.0,False,False,False,True,0,0,v12
53538640-b535-439e-bd25-b2c13bb708e2,Assin Nyankomasi CHPS Compoun,Central,Asin,chps,CHPS,5.36,-1.22,0.5883,Marginal,1.0,0.7415,0.033,0.7521,Moderate Desert,False,False,False,False,False,False,False,False,0.91,0,False,0.256,0.22,0.0,0.0,False,False,False,True,0,0,v12
734cb9a6-1e57-40e3-a0d3-f8015e791594,Nadowli District Hospital,Upper West,Nadawli,hospital,Secondary,10.6,-2.75,0.605,Marginal,1.0,0.6965,0.054,0.7516,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.3235,0.36,0.0,0.0,False,False,True,False,0,0,v12
872bcc1a-e53e-4300-ad62-f0f4b718b0eb,The David's Medical Centre,Bono East,Yabraso,hospital,Secondary,7.6,-1.0,0.6859,Moderate Desert,1.0,0.4365,0.069,0.7515,Moderate Desert,False,False,False,False,False,False,False,False,0.41,0,False,0.5185,0.46,0.0,0.0,False,False,True,False,0,0,v12
000b3ffe-f91f-4070-9009-fa79b97ea006,Sda Clinic,Central,Dominase,hospital,Secondary,5.36,-1.22,0.5883,Marginal,1.0,0.7288,0.0405,0.7494,Moderate Desert,False,False,False,False,False,False,False,False,0.87,1,False,0.346,0.27,0.0,0.0,False,False,True,False,0,0,v12
4ca6be53-559e-4cf4-9424-b0ab5bfe8ef1,Kintampo Sunkwa Clinic,Bono East,Kintampo,clinic,Primary/Clinic,8.05,-1.7167,0.6859,Moderate Desert,1.0,0.3725,0.036,0.7452,Moderate Desert,False,False,False,False,False,False,False,False,0.4,0,False,0.491,0.24,0.0,0.0,False,False,False,True,0,0,v12
5f0cdb26-dfd6-46d9-86bd-de3cc67bb570,Obosomase RCH,Unknown,Obosomase,clinic,Primary/Clinic,7.9465,-1.0232,0.5306,Marginal,1.0,0.8758,0.018,0.7449,Moderate Desert,False,False,False,False,False,False,False,False,1.0,1,False,0.22,0.12,-0.1,0.0,False,False,False,True,0,0,v12
3776c2d9-0fcb-4b81-9fca-52fdf70086c2,Kojokumikrom Rural Clinic,Unknown,Sromani,hospital,Secondary,7.9465,-1.0232,0.5306,Marginal,1.0,0.8758,0.018,0.7449,Moderate Desert,False,False,False,False,False,False,False,False,1.0,1,False,0.261,0.12,-0.1,0.0,False,False,True,False,0,0,v12
da3b5c21-1ec2-4545-936d-b9648b6116c7,Enchi Government Hospital,Western North,Enchi,hospital,Secondary,6.3,-2.7,0.6671,Moderate Desert,1.0,0.4365,0.051,0.7439,Moderate Desert,False,False,False,False,False,False,False,False,0.41,0,False,0.446,0.34,0.0,0.0,False,False,True,False,0,0,v12
d5ff4c26-e397-424e-ab43-1b9282fc094c,Enchi Government Hospital,Western North,Enchi,hospital,Secondary,6.3,-2.7,0.6671,Moderate Desert,1.0,0.4365,0.0615,0.7429,Moderate Desert,False,False,False,False,False,False,False,False,0.41,0,False,0.446,0.41,0.0,0.0,False,False,True,False,0,0,v12
6df70c73-b7f5-4955-973a-1fc52e1e0212,Woodland Medical Centre,Bono East,Atebubu,hospital,Secondary,7.75,-0.9833,0.6859,Moderate Desert,1.0,0.3665,0.072,0.7407,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.6485,0.48,0.0,0.0,False,False,True,False,0,0,v12
a1dbc816-843d-4dc5-b7f4-73234ef88094,Virtue Medical Centre,Upper West,,hospital,Secondary,10.25,-2.32,0.605,Marginal,1.0,0.6073,0.0405,0.7395,Moderate Desert,False,False,False,False,False,False,False,False,0.76,1,False,0.301,0.27,0.0,0.0,False,False,True,False,0,0,v12
c501cf7f-ebe8-4b96-8d17-a74f87b2b724,Matthias Catholic Hospital,Bono East,Yeji,hospital,Secondary,7.5833,-1.9333,0.6859,Moderate Desert,1.0,0.342,0.069,0.7374,Moderate Desert,False,False,False,False,False,False,False,False,0.43,0,False,0.3635,0.46,0.0,0.0,False,False,True,False,0,0,v12
4bf2aca7-c7a4-49b0-b268-9c4510daaa7e,Dande Natural Herbal Clinic,Bono East,Techiman,alternative_medicine,Other,7.5833,-1.9333,0.6859,Moderate Desert,1.0,0.3265,0.087,0.7332,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.6085,0.58,0.0,0.0,False,False,False,False,0,0,v12
568c94cc-6302-452c-b2c4-7a3f25f4a9ce,Sincere Herbal Research and Treatment Center,Bono East,Kintampo,alternative_medicine,Other,8.05,-1.7167,0.6859,Moderate Desert,1.0,0.3265,0.0945,0.7325,Moderate Desert,False,False,False,False,False,True,False,False,0.36,0,False,0.6375,0.63,0.0,0.0,False,False,False,False,0,0,v12
a8c9779f-7f0c-467f-88ce-fa380eee3cea,Divine Trinity Health Center,Western North,Sefwi Bekwai,clinic,Primary/Clinic,6.3833,-2.3833,0.6671,Moderate Desert,1.0,0.3445,0.036,0.7316,Moderate Desert,False,False,False,False,False,False,False,False,0.23,0,False,0.5,0.24,0.0,0.0,False,False,False,True,0,0,v12
70816bee-5bee-48b9-a90a-e509de2ac5bf,Bibiani Municipal Hospital,Western North,Bibiani,hospital,Secondary,6.45,-2.35,0.6671,Moderate Desert,1.0,0.3665,0.0795,0.7306,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.6085,0.53,0.0,0.0,False,False,True,False,0,0,v12
9e77dc3b-aaac-4fe7-9396-6ce796952bd3,Juabo Community Clinic,Upper West,,clinic,Primary/Clinic,10.25,-2.32,0.605,Marginal,1.0,0.5613,0.0765,0.7291,Moderate Desert,False,False,False,False,False,False,False,False,0.72,1,False,0.26,0.51,0.0,0.0,False,False,False,True,0,0,v12
4ea451e9-87c5-40ce-b5ed-bbeb1feda053,St. Gregory Catholic Hospital,Central,Gomaa Buduburam,hospital,Secondary,5.36,-1.22,0.5883,Marginal,1.0,0.6073,0.0615,0.7291,Moderate Desert,False,False,False,False,False,False,False,False,0.76,1,False,0.3235,0.41,0.0,0.0,False,False,True,False,0,0,v12
f5b8bd79-53e8-4fde-bfec-0e430c358ded,Foundation Human Nature,Unknown,,,Other,7.9465,-1.0232,0.5306,Marginal,1.0,0.8425,0.189,0.7228,Moderate Desert,False,False,False,False,False,False,False,False,1.0,0,False,0.2025,0.26,-0.1,0.0,True,True,False,False,0,0,v12
f9a48387-dc07-495e-a4a3-755b28436826,Gwollu Hospital,Upper West,Gwo,hospital,Secondary,10.25,-2.32,0.605,Marginal,1.0,0.4825,0.0255,0.7223,Moderate Desert,False,False,False,False,False,False,False,False,0.45,0,False,0.476,0.17,0.0,0.0,False,False,True,False,0,0,v12
bbd58e6d-546b-4533-afb8-cec058fcbc2a,Walewale District Hospital,Northern,Walewale,hospital,Secondary,10.3667,-0.8,0.599,Marginal,1.0,0.5095,0.036,0.7223,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.391,0.24,0.0,0.0,False,False,True,False,0,0,v12
fbf98c9c-5fe4-462e-b526-2837a4b1dbd9,Tamale West Hospital,Northern,Tamale,hospital,Secondary,9.4075,-0.8533,0.599,Marginal,1.0,0.5095,0.036,0.7223,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.391,0.24,0.0,0.0,False,False,True,False,0,0,v12
f31cb277-c33e-4a79-bef4-eacb5196824a,Church of Christ Health Centre,Northern,Yendi,clinic,Primary/Clinic,9.4417,-0.0083,0.599,Marginal,1.0,0.5095,0.036,0.7223,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.391,0.24,0.0,0.0,False,False,False,True,0,0,v12
5272393a-ee7b-47f1-917d-2a0c5da214dc,Yendi District Hospital,Northern,Yendi,hospital,Secondary,9.4417,-0.0083,0.599,Marginal,1.0,0.5095,0.054,0.7205,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.4135,0.36,0.0,0.0,False,False,True,False,0,0,v12
2353e3b9-a809-4062-9481-05305d49a679,Cape Coast Metropolitan Hospital,Central,Cape Coast,hospital,Secondary,5.1053,-1.2466,0.5883,Marginal,1.0,0.5095,0.036,0.717,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.431,0.24,0.0,0.0,False,False,True,False,0,0,v12
213686a6-b45e-4957-8e06-3f6b4da7c12d,Tolon District Hospital,Northern,Tolon,hospital,Secondary,9.54,-0.9,0.599,Marginal,1.0,0.4825,0.054,0.7165,Moderate Desert,False,False,False,False,False,False,False,False,0.45,0,False,0.3985,0.36,0.0,0.0,False,False,True,False,0,0,v12
8d327a3e-841f-40b0-b69a-668bf0998f63,Our Lady of Grace Catholic Hospital,Central,Breman Asikuma,hospital,Secondary,5.7333,-1.1167,0.5883,Marginal,1.0,0.529,0.072,0.7163,Moderate Desert,False,False,False,False,False,False,False,False,0.71,0,False,0.301,0.48,0.0,0.0,False,False,True,False,0,0,v12
2fbdd949-fe72-4797-b78b-6af302463542,"Ahmadiyya Muslim Hospital, Techiman",Bono East,Techiman,hospital,Secondary,7.5833,-1.9333,0.6859,Moderate Desert,1.0,0.205,0.0885,0.7149,Moderate Desert,False,False,False,False,False,False,False,False,0.25,0,False,0.6535,0.59,0.0,0.0,False,False,True,False,0,0,v12
5e1632aa-37d2-45ac-a5b5-098c2d1b0325,Swedru Municipal Hospital,Central,Agona Swedru,hospital,Secondary,5.5333,-0.6833,0.5883,Marginal,1.0,0.5095,0.0645,0.7141,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.4675,0.43,0.0,0.0,False,False,True,False,0,0,v12
7ad8d7cb-153a-4c2a-81bb-c8fcf646cfc2,Boinzan Anglican Clinic,Western North,Sefwi Boinzan,clinic,Primary/Clinic,6.3,-2.7,0.6671,Moderate Desert,1.0,0.244,0.0615,0.714,Moderate Desert,False,False,False,False,False,False,False,False,0.26,0,False,0.4685,0.41,0.0,0.0,False,False,False,True,0,0,v12
e95fee9d-242b-4fa6-bdea-2bccb7da6b69,Nyohini Hospital,Northern,Tamale,hospital,Secondary,9.4075,-0.8533,0.599,Marginal,1.0,0.4635,0.0615,0.7129,Moderate Desert,False,False,False,False,False,False,False,False,0.54,0,False,0.436,0.41,0.0,0.0,False,False,True,False,0,0,v12
6cb186fa-fc5c-4d5e-bf11-57a5efb702b4,The Salvation Army Health Services,Central,Ajumako,,Other,5.3167,-1.05,0.5883,Marginal,1.0,0.529,0.107,0.7128,Moderate Desert,False,False,False,False,False,False,False,False,0.71,0,False,0.3235,0.38,0.0,0.0,False,True,False,False,0,0,v12
dc593172-f9db-420c-9c0f-abfc57a9d394,"Gwollu Hospital, Sissala West District, Gwo, Ghana",Upper West,Gwo,hospital,Secondary,10.25,-2.32,0.605,Marginal,1.0,0.4365,0.0615,0.7118,Moderate Desert,False,False,False,False,False,False,False,False,0.41,0,False,0.496,0.41,0.0,0.0,False,False,True,False,0,0,v12
a97d7edf-a243-4aff-a55b-7ad42c67e5ea,Essandoh Memorial Clinic,Unknown,Western,clinic,Primary/Clinic,7.9465,-1.0232,0.5306,Marginal,1.0,0.6783,0.0585,0.7112,Moderate Desert,False,False,False,False,False,False,False,False,0.85,1,False,0.306,0.39,-0.1,0.0,False,False,False,True,0,0,v12
89e5bbaa-a97c-4ff9-a87d-46827e2994ec,Ghana Make A Difference,Central,,,Other,5.36,-1.22,0.5883,Marginal,1.0,0.502,0.0875,0.7107,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.275,0.25,0.0,0.0,False,True,False,False,0,0,v12
5e47d7a6-7711-4ccd-8692-3fb844e0c645,"MonMed Laboratory Services, 88 Ameyaw Street, Techiman, Ghana",Bono East,Techiman,diagnostic_center,Other,7.5833,-1.9333,0.6859,Moderate Desert,1.0,0.1815,0.1065,0.7095,Moderate Desert,False,False,False,False,True,False,False,False,0.06,0,False,0.806,0.71,0.0,0.0,False,False,False,False,0,0,v12
3bf6a33a-9434-4616-a562-fc3f87712216,BAMCEC (Bishop Ackon Memorial Christian Eye Centre),Central,Cape Coast,eye_clinic,Primary/Clinic,5.1053,-1.2466,0.5883,Marginal,1.0,0.464,0.051,0.7086,Moderate Desert,False,False,False,False,False,False,False,False,0.71,0,False,0.346,0.34,0.0,0.0,False,False,False,True,0,0,v12
c9482516-561e-4f37-a4d6-65f3543d9236,ST. FF Specialist Hospital,Upper West,Nkwanta,hospital,Specialist,8.2833,0.5,0.605,Marginal,1.0,0.414,0.072,0.7074,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.586,0.48,0.0,0.0,False,False,True,False,0,0,v12
1bd41ae7-6eb3-40e1-bb22-7013a7967a24,Ajumako Hospital,Central,Ajumako,hospital,Secondary,5.3167,-1.05,0.5883,Marginal,1.0,0.483,0.0945,0.7072,Moderate Desert,False,False,False,False,False,False,False,False,0.67,0,False,0.346,0.63,0.0,0.0,False,False,True,False,0,0,v12
80296656-a224-42d4-93cf-af30b3cbf514,Abomosu Health Centre,Eastern,Abomosu,clinic,Primary/Clinic,6.15,-0.45,0.4964,Adequate,1.0,0.7415,0.0255,0.7069,Moderate Desert,False,False,False,False,False,False,False,False,0.91,0,False,0.256,0.17,0.0,0.0,False,False,False,True,0,0,v12
42f7dafd-f08e-4e37-b64b-a297d00884d2,Diabetes Youth Care,Western,,hospital,Secondary,4.9016,-2.0214,0.5425,Marginal,1.0,0.6073,0.0585,0.7065,Moderate Desert,False,False,False,False,False,False,False,False,0.76,1,False,0.301,0.39,0.0,0.0,False,False,True,False,0,0,v12
6dbf0177-e4cf-4041-aaaa-e1970857ed4d,St. Martin de Porres Catholic Hospital,Western,Eikwe,hospital,Secondary,4.9016,-2.0214,0.5425,Marginal,1.0,0.6073,0.0615,0.7062,Moderate Desert,False,False,False,False,False,False,False,False,0.76,1,False,0.3235,0.41,0.0,0.0,False,False,True,False,0,0,v12
f0656cfa-a75b-488e-81df-68a8aedc777c,"One-Heart Medical Center, Lamashegu-off Kumasi Accra road, Tamale, Ghana",Northern,Tamale,hospital,Secondary,9.4075,-0.8533,0.599,Marginal,1.0,0.4125,0.057,0.7057,Moderate Desert,False,False,False,False,False,False,False,False,0.4,0,False,0.581,0.38,0.0,0.0,False,False,True,False,0,0,v12
e85c3027-4908-4eca-832f-cc14ed247037,Huttel Health and Development Centre,Unknown,Boamadumasi,clinic,Primary/Clinic,7.9465,-1.0232,0.5306,Marginal,1.0,0.645,0.066,0.7055,Moderate Desert,False,False,False,False,False,False,False,False,0.85,0,False,0.261,0.44,-0.1,0.0,False,False,False,True,0,0,v12
3338ada9-ca84-4adb-844e-30e210a46694,Asuofua Gov. Health Centre,Ashanti,Asuofia,clinic,Primary/Clinic,6.6885,-1.6244,0.4831,Marginal,1.0,0.7748,0.0255,0.7052,Moderate Desert,False,False,False,False,False,False,False,False,0.91,1,False,0.301,0.17,0.0,0.0,False,False,False,True,0,0,v12
65739265-3594-4acd-a6fe-ce9bdec2ae49,Dunkwa Municipal Hospital,Central,Dunkwa-On-Offin,hospital,Secondary,5.9667,-1.7833,0.5883,Marginal,1.0,0.4375,0.057,0.7041,Moderate Desert,False,False,False,False,False,False,False,False,0.4,0,False,0.4235,0.38,0.0,0.0,False,False,True,False,0,0,v12
2c0f752d-ee2d-4c66-8b14-851365f938cf,Kpendua,Oti,Yabologu,hospital,Secondary,8.1833,0.4167,0.509,Marginal,1.0,0.6965,0.054,0.7036,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.3235,0.36,0.0,0.0,False,False,True,False,0,0,v12
809f0853-6f73-4e29-a445-79ab1f500c00,ST. Micheal Hospital,Ashanti,Pramiso,hospital,Secondary,6.6885,-1.6244,0.4831,Marginal,1.0,0.7748,0.0435,0.7034,Moderate Desert,False,False,False,False,False,False,False,False,0.91,1,False,0.3235,0.29,0.0,0.0,False,False,True,False,0,0,v12
9a8b9bdc-ecd4-4676-a204-989a92a52512,Nkenkasu District Hospital,Volta,Nkenkaso,hospital,Secondary,6.2333,-0.8667,0.508,Marginal,1.0,0.6965,0.054,0.7031,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.3235,0.36,0.0,0.0,False,False,True,False,0,0,v12
2c89e205-7720-438b-bd10-c50783a144c0,Pentecost Hospital Ayanfuri,Upper West,Ayanfuri,hospital,Secondary,6.0833,-1.6833,0.605,Marginal,1.0,0.3915,0.0945,0.7018,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.5185,0.63,0.0,0.0,False,False,True,False,0,0,v12
2a86a002-038f-408b-9c2b-1869ae934fb6,Kpandai District Hospital,Northern,Kpandai,hospital,Secondary,8.4667,-0.0167,0.599,Marginal,1.0,0.3915,0.069,0.7013,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.396,0.46,0.0,0.0,False,False,True,False,0,0,v12
435144de-cdee-4a0b-b2ab-cd5194f85439,Mizprom Herbal Centre,Central,Accra,alternative_medicine,Other,5.6037,-0.187,0.5883,Marginal,1.0,0.4223,0.069,0.7006,Moderate Desert,False,False,False,False,False,True,False,False,0.36,1,False,0.635,0.46,0.0,0.0,False,False,False,False,0,0,v12
2b0a6d15-6802-4ee7-9ea3-f9a36c61894a,VRA HOSPITAL ABOADZE,Western,Aboadze,hospital,Secondary,4.9016,-2.0214,0.5425,Marginal,1.0,0.5613,0.051,0.7004,Moderate Desert,False,False,False,False,False,False,False,False,0.72,1,False,0.346,0.34,0.0,0.0,False,False,True,False,0,0,v12
9eedc753-2821-4d27-9d59-fc65e3a29380,Reed Danos Medical Centre,Western North,Bibiani,clinic,Primary/Clinic,6.45,-2.35,0.6671,Moderate Desert,1.0,0.159,0.0765,0.6997,Moderate Desert,False,False,False,False,False,False,False,False,0.21,0,False,0.495,0.51,0.0,0.0,False,False,False,True,0,0,v12
5a2ed130-fd0c-4f28-9ecb-3765ce30a8fd,"Evangelical Church of Ghana Hospital, Kpandai",Northern,Kpandai,hospital,Secondary,8.4667,-0.0167,0.599,Marginal,1.0,0.3915,0.087,0.6995,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.54,0.58,0.0,0.0,False,False,True,False,0,0,v12
64e781f7-6a76-4b49-b1a1-4b14455a0a3a,Kwabeng RCH,Eastern,Kwabeng,clinic,Primary/Clinic,6.4,-0.7833,0.4964,Adequate,1.0,0.6965,0.036,0.6991,Moderate Desert,False,False,False,False,False,False,False,False,0.86,0,False,0.301,0.24,0.0,0.0,False,False,False,True,0,0,v12
e21a91aa-3a45-43e6-affb-136125afbf3e,Adjoum Community Clinic,Western,Adjoum,clinic,Primary/Clinic,4.9016,-2.0214,0.5425,Marginal,1.0,0.5613,0.066,0.6989,Moderate Desert,False,False,False,False,False,False,False,False,0.72,1,False,0.26,0.44,0.0,0.0,False,False,False,True,0,0,v12
10af5544-bddc-454b-ad1f-a73212486815,St. Edward Clinic,Western,Bogoso,hospital,Secondary,4.9016,-2.0214,0.5425,Marginal,1.0,0.5613,0.066,0.6989,Moderate Desert,False,False,False,False,False,False,False,False,0.72,1,False,0.346,0.44,0.0,0.0,False,False,True,False,0,0,v12
32eab73c-f4ae-4d04-8a7e-9b216eb6f4e1,CHAG,Unknown,Drobonso,,Other,7.9465,-1.0232,0.5306,Marginal,1.0,0.5995,0.068,0.6984,Moderate Desert,False,False,False,False,False,False,False,False,0.58,0,False,0.411,0.12,-0.1,0.0,False,True,False,False,0,0,v12
0a8f1f40-5c70-4ef7-8fed-2d085f13f7f8,Fr. Thomas Alan Rooney Memorial Catholic Hospital,Western,Asankrangua,hospital,Secondary,5.6833,-2.5167,0.5425,Marginal,1.0,0.5515,0.0615,0.6978,Moderate Desert,False,False,False,False,False,False,False,False,0.71,0,False,0.301,0.41,0.0,0.0,False,False,True,False,0,0,v12
990ec400-6b6d-469c-93d8-86a4088f66b6,Saviour's Clinic,Western,Mangoase,clinic,Primary/Clinic,4.9016,-2.0214,0.5425,Marginal,1.0,0.5613,0.0765,0.6978,Moderate Desert,False,False,False,False,False,False,False,False,0.72,1,False,0.341,0.51,0.0,0.0,False,False,False,True,0,0,v12
bccfc6f6-330c-435a-a4ab-1c6636d3cb3b,Ghana Primewood Clinic,Western,Western,clinic,Primary/Clinic,4.9016,-2.0214,0.5425,Marginal,1.0,0.5613,0.0765,0.6978,Moderate Desert,False,False,False,False,False,False,False,False,0.72,1,False,0.346,0.51,0.0,0.0,False,False,False,True,0,0,v12
60ff2a20-34fd-42d7-9851-c5509ba26a5a,Ummah Medical Center,Northern,Tamale,hospital,Secondary,9.4075,-0.8533,0.599,Marginal,1.0,0.3665,0.069,0.6976,Moderate Desert,False,False,False,False,False,False,False,False,0.36,0,False,0.626,0.46,0.0,0.0,False,False,True,False,0,0,v12
